; Written by swmmeaproject.pyc
;Link Depth
T5
	10/28/2011	00:01	0.0
	10/28/2011	00:02	0.0
	10/28/2011	00:03	0.0
	10/28/2011	00:04	0.0001
	10/28/2011	00:05	0.0005
	10/28/2011	00:06	0.0013
	10/28/2011	00:07	0.0026
	10/28/2011	00:08	0.0043
	10/28/2011	00:09	0.0062
	10/28/2011	00:10	0.0081
	10/28/2011	00:11	0.0101
	10/28/2011	00:12	0.0119
	10/28/2011	00:13	0.0137
	10/28/2011	00:14	0.0154
	10/28/2011	00:15	0.017
	10/28/2011	00:16	0.0186
	10/28/2011	00:17	0.0201
	10/28/2011	00:18	0.0216
	10/28/2011	00:19	0.0235
	10/28/2011	00:20	0.026
	10/28/2011	00:21	0.029
	10/28/2011	00:22	0.0326
	10/28/2011	00:23	0.0365
	10/28/2011	00:24	0.0404
	10/28/2011	00:25	0.0446
	10/28/2011	00:26	0.0488
	10/28/2011	00:27	0.053
	10/28/2011	00:28	0.0573
	10/28/2011	00:29	0.0617
	10/28/2011	00:30	0.0659
	10/28/2011	00:31	0.0703
	10/28/2011	00:32	0.0747
	10/28/2011	00:33	0.0789
	10/28/2011	00:34	0.0834
	10/28/2011	00:35	0.0878
	10/28/2011	00:36	0.092
	10/28/2011	00:37	0.0965
	10/28/2011	00:38	0.101
	10/28/2011	00:39	0.1052
	10/28/2011	00:40	0.1099
	10/28/2011	00:41	0.1146
	10/28/2011	00:42	0.119
	10/28/2011	00:43	0.1243
	10/28/2011	00:44	0.1295
	10/28/2011	00:45	0.1343
	10/28/2011	00:46	0.1403
	10/28/2011	00:47	0.1463
	10/28/2011	00:48	0.1517
	10/28/2011	00:49	0.159
	10/28/2011	00:50	0.1662
	10/28/2011	00:51	0.1727
	10/28/2011	00:52	0.1822
	10/28/2011	00:53	0.1915
	10/28/2011	00:54	0.1998
	10/28/2011	00:55	0.2133
	10/28/2011	00:56	0.2262
	10/28/2011	00:57	0.2378
	10/28/2011	00:58	0.2597
	10/28/2011	00:59	0.2799
	10/28/2011	01:00	0.2979
	10/28/2011	01:01	0.3414
	10/28/2011	01:02	0.3811
	10/28/2011	01:03	0.4174
	10/28/2011	01:04	0.4307
	10/28/2011	01:05	0.4439
	10/28/2011	01:06	0.4556
	10/28/2011	01:07	0.4476
	10/28/2011	01:08	0.4402
	10/28/2011	01:09	0.4346
	10/28/2011	01:10	0.4219
	10/28/2011	01:11	0.4101
	10/28/2011	01:12	0.4007
	10/28/2011	01:13	0.3878
	10/28/2011	01:14	0.3763
	10/28/2011	01:15	0.3667
	10/28/2011	01:16	0.3555
	10/28/2011	01:17	0.3454
	10/28/2011	01:18	0.3369
	10/28/2011	01:19	0.3273
	10/28/2011	01:20	0.3187
	10/28/2011	01:21	0.3113
	10/28/2011	01:22	0.3033
	10/28/2011	01:23	0.296
	10/28/2011	01:24	0.2896
	10/28/2011	01:25	0.2829
	10/28/2011	01:26	0.2767
	10/28/2011	01:27	0.2713
	10/28/2011	01:28	0.2655
	10/28/2011	01:29	0.2601
	10/28/2011	01:30	0.2553
	10/28/2011	01:31	0.2503
