; Written by swmmeaproject.pyc
;Link Flow
T5
	10/28/2011	02:47	230.91
	10/28/2011	02:48	218.58
	10/28/2011	02:49	206.89
	10/28/2011	02:50	195.83
	10/28/2011	02:51	185.37
	10/28/2011	02:52	175.51
	10/28/2011	02:53	166.22
	10/28/2011	02:54	157.51
	10/28/2011	02:55	149.38
	10/28/2011	02:56	141.81
	10/28/2011	02:57	134.81
	10/28/2011	02:58	128.39
	10/28/2011	02:59	122.57
	10/28/2011	03:00	117.38
	10/28/2011	03:01	112.91
	10/28/2011	03:02	109.26
	10/28/2011	03:03	106.19
	10/28/2011	03:04	103.37
	10/28/2011	03:05	100.69
	10/28/2011	03:06	98.118
	10/28/2011	03:07	95.635
	10/28/2011	03:08	93.24
	10/28/2011	03:09	90.928
	10/28/2011	03:10	88.695
	10/28/2011	03:11	86.539
	10/28/2011	03:12	84.455
	10/28/2011	03:13	82.441
	10/28/2011	03:14	80.493
	10/28/2011	03:15	78.609
	10/28/2011	03:16	76.787
	10/28/2011	03:17	75.023
	10/28/2011	03:18	73.315
	10/28/2011	03:19	71.661
	10/28/2011	03:20	70.059
	10/28/2011	03:21	68.507
	10/28/2011	03:22	67.002
	10/28/2011	03:23	65.543
	10/28/2011	03:24	64.129
	10/28/2011	03:25	62.756
	10/28/2011	03:26	61.425
	10/28/2011	03:27	60.132
	10/28/2011	03:28	58.878
	10/28/2011	03:29	57.66
	10/28/2011	03:30	56.476
	10/28/2011	03:31	55.327
	10/28/2011	03:32	54.21
	10/28/2011	03:33	53.124
	10/28/2011	03:34	52.069
	10/28/2011	03:35	51.042
	10/28/2011	03:36	50.044
	10/28/2011	03:37	49.073
	10/28/2011	03:38	48.128
	10/28/2011	03:39	47.208
	10/28/2011	03:40	46.313
	10/28/2011	03:41	45.441
	10/28/2011	03:42	44.592
	10/28/2011	03:43	43.766
	10/28/2011	03:44	42.96
	10/28/2011	03:45	42.175
	10/28/2011	03:46	41.41
	10/28/2011	03:47	40.664
	10/28/2011	03:48	39.937
	10/28/2011	03:49	39.228
	10/28/2011	03:50	38.537
	10/28/2011	03:51	37.862
	10/28/2011	03:52	37.204
	10/28/2011	03:53	36.562
	10/28/2011	03:54	35.935
	10/28/2011	03:55	35.323
	10/28/2011	03:56	34.726
	10/28/2011	03:57	34.143
	10/28/2011	03:58	33.573
	10/28/2011	03:59	33.016
	10/28/2011	04:00	32.473
	10/28/2011	04:01	31.942
	10/28/2011	04:02	31.422
	10/28/2011	04:03	30.915
	10/28/2011	04:04	30.419
	10/28/2011	04:05	29.934
	10/28/2011	04:06	29.46
	10/28/2011	04:07	28.996
	10/28/2011	04:08	28.543
	10/28/2011	04:09	28.099
	10/28/2011	04:10	27.665
	10/28/2011	04:11	27.24
	10/28/2011	04:12	26.824
	10/28/2011	04:13	26.418
	10/28/2011	04:14	26.019
	10/28/2011	04:15	25.629
	10/28/2011	04:16	25.248
	10/28/2011	04:17	24.874
	10/28/2011	04:18	24.507
	10/28/2011	04:19	24.149
	10/28/2011	04:20	23.797
	10/28/2011	04:21	23.453
	10/28/2011	04:22	23.116
	10/28/2011	04:23	22.785
	10/28/2011	04:24	22.461
	10/28/2011	04:25	22.144
	10/28/2011	04:26	21.832
	10/28/2011	04:27	21.527
	10/28/2011	04:28	21.228
	10/28/2011	04:29	20.934
	10/28/2011	04:30	20.647
	10/28/2011	04:31	20.364
	10/28/2011	04:32	20.087
	10/28/2011	04:33	19.816
	10/28/2011	04:34	19.549
	10/28/2011	04:35	19.287
	10/28/2011	04:36	19.031
	10/28/2011	04:37	18.779
	10/28/2011	04:38	18.531
	10/28/2011	04:39	18.289
	10/28/2011	04:40	18.05
	10/28/2011	04:41	17.816
	10/28/2011	04:42	17.586
	10/28/2011	04:43	17.361
	10/28/2011	04:44	17.139
	10/28/2011	04:45	16.921
	10/28/2011	04:46	16.708
	10/28/2011	04:47	16.498
	10/28/2011	04:48	16.291
	10/28/2011	04:49	16.088
	10/28/2011	04:50	15.889
	10/28/2011	04:51	15.693
	10/28/2011	04:52	15.501
	10/28/2011	04:53	15.311
	10/28/2011	04:54	15.126
	10/28/2011	04:55	14.943
	10/28/2011	04:56	14.763
	10/28/2011	04:57	14.586
	10/28/2011	04:58	14.412
	10/28/2011	04:59	14.241
	10/28/2011	05:00	14.073
	10/28/2011	05:01	13.908
	10/28/2011	05:02	13.745
	10/28/2011	05:03	13.586
	10/28/2011	05:04	13.428
	10/28/2011	05:05	13.273
	10/28/2011	05:06	13.121
	10/28/2011	05:07	12.971
	10/28/2011	05:08	12.824
	10/28/2011	05:09	12.678
	10/28/2011	05:10	12.535
	10/28/2011	05:11	12.395
	10/28/2011	05:12	12.256
	10/28/2011	05:13	12.12
	10/28/2011	05:14	11.986
	10/28/2011	05:15	11.854
	10/28/2011	05:16	11.724
	10/28/2011	05:17	11.596
	10/28/2011	05:18	11.47
	10/28/2011	05:19	11.345
	10/28/2011	05:20	11.223
	10/28/2011	05:21	11.102
	10/28/2011	05:22	10.984
	10/28/2011	05:23	10.867
	10/28/2011	05:24	10.752
	10/28/2011	05:25	10.638
	10/28/2011	05:26	10.526
	10/28/2011	05:27	10.416
	10/28/2011	05:28	10.307
	10/28/2011	05:29	10.2
	10/28/2011	05:30	10.095
	10/28/2011	05:31	9.9909
	10/28/2011	05:32	9.8887
	10/28/2011	05:33	9.7879
	10/28/2011	05:34	9.6884
	10/28/2011	05:35	9.5903
	10/28/2011	05:36	9.4936
	10/28/2011	05:37	9.3982
	10/28/2011	05:38	9.3042
	10/28/2011	05:39	9.2115
	10/28/2011	05:40	9.12
	10/28/2011	05:41	9.0299
	10/28/2011	05:42	8.9409
	10/28/2011	05:43	8.8532
	10/28/2011	05:44	8.7667
	10/28/2011	05:45	8.6814
	10/28/2011	05:46	8.5972
	10/28/2011	05:47	8.5141
	10/28/2011	05:48	8.4322
	10/28/2011	05:49	8.3514
	10/28/2011	05:50	8.2717
	10/28/2011	05:51	8.193
	10/28/2011	05:52	8.1153
	10/28/2011	05:53	8.0387
	10/28/2011	05:54	7.9631
	10/28/2011	05:55	7.8885
	10/28/2011	05:56	7.8149
	10/28/2011	05:57	7.7422
	10/28/2011	05:58	7.6705
	10/28/2011	05:59	7.5997
	10/28/2011	06:00	7.5298
